League,Season,Team,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
English Premier League,2024/25,Liverpool,38.0,19.0,10.0,9.0,17.0,1.0,1.0,2.0,6.0,6.0,17.0,84.0,86.0,41.0,1.0263157894736843,3.9210526315789473,0.5475157894736842,89.47,10.53,5.26,80.0,20.0,66.67,44.74,2.211,2.263,1.079
English Premier League,2024/25,Man City,38.0,19.0,7.0,12.0,15.0,2.0,2.0,0.0,1.0,6.0,12.0,71.0,72.0,44.0,0.9210526315789473,3.8684210526315788,0.4257944444444444,78.95,21.05,10.53,14.29,0.0,50.0,31.58,1.868,1.895,1.158
English Premier League,2024/25,Man United,38.0,5.0,14.0,19.0,4.0,1.0,0.0,3.0,2.0,4.0,19.0,42.0,44.0,54.0,1.131578947368421,4.2105263157894735,0.6206142857142858,80.0,20.0,0.0,35.71,21.43,21.05,50.0,1.105,1.158,1.421
English Premier League,2024/25,Newcastle,38.0,18.0,11.0,9.0,16.0,1.0,1.0,2.0,3.0,2.0,14.0,66.0,68.0,47.0,1.131578947368421,4.394736842105263,0.4865540540540541,88.89,11.11,5.56,45.45,18.18,22.22,36.84,1.737,1.789,1.237
English Premier League,2024/25,Nott'm Forest,38.0,14.0,7.0,17.0,11.0,2.0,1.0,0.0,1.0,8.0,16.0,65.0,58.0,46.0,1.131578947368421,4.973684210526316,0.6033432432432433,78.57,21.43,7.14,14.29,0.0,47.06,42.11,1.711,1.526,1.211
English Premier League,2024/25,Southampton,38.0,6.0,21.0,11.0,0.0,2.0,4.0,0.0,1.0,2.0,15.0,12.0,26.0,86.0,1.105263157894737,3.8684210526315788,0.5134249999999999,0.0,100.0,66.67,4.76,0.0,18.18,39.47,0.316,0.684,2.263
English Premier League,2024/25,Tottenham,38.0,15.0,16.0,7.0,9.0,2.0,4.0,1.0,1.0,1.0,13.0,38.0,64.0,65.0,1.1842105263157894,4.157894736842105,0.4643078947368421,60.0,40.0,26.67,12.5,6.25,14.29,34.21,1.0,1.684,1.711
English Premier League,2024/25,West Ham,38.0,8.0,16.0,14.0,7.0,0.0,1.0,0.0,4.0,4.0,13.0,43.0,46.0,62.0,0.8421052631578947,3.6315789473684212,0.5873891891891891,87.5,12.5,12.5,25.0,0.0,28.57,34.21,1.132,1.211,1.632
English Premier League,2024/25,Wolves,38.0,10.0,16.0,12.0,8.0,0.0,2.0,1.0,3.0,3.0,15.0,42.0,54.0,69.0,1.0263157894736843,4.2368421052631575,0.5026342105263157,80.0,20.0,20.0,25.0,6.25,25.0,39.47,1.105,1.421,1.816
French Ligue 1,2015/16,Ajaccio GFCO,38.0,9.0,16.0,13.0,6.0,3.0,0.0,0.0,2.0,2.0,10.0,37.0,37.0,58.0,0.7105263157894737,4.026315789473684,0.43619142857142856,66.67,33.33,0.0,12.5,0.0,15.38,26.32,0.974,0.974,1.526
French Ligue 1,2015/16,Angers,38.0,14.0,8.0,16.0,10.0,1.0,3.0,0.0,1.0,3.0,12.0,50.0,40.0,38.0,0.8157894736842105,4.184210526315789,0.5038900000000001,71.43,28.57,21.43,12.5,0.0,18.75,31.58,1.316,1.053,1.0
French Ligue 1,2015/16,Bastia,38.0,9.0,9.0,20.0,7.0,2.0,0.0,1.0,0.0,6.0,17.0,50.0,36.0,42.0,0.8421052631578947,4.578947368421052,0.6308823529411764,77.78,22.22,0.0,11.11,11.11,30.0,44.74,1.316,0.947,1.105
French Ligue 1,2015/16,Bordeaux,38.0,13.0,11.0,14.0,9.0,2.0,2.0,0.0,3.0,3.0,12.0,50.0,50.0,57.0,1.0263157894736843,4.2105263157894735,0.6300441176470589,69.23,30.77,15.38,27.27,0.0,21.43,31.58,1.316,1.316,1.5
French Ligue 1,2015/16,Caen,38.0,8.0,13.0,17.0,7.0,1.0,0.0,0.0,0.0,9.0,13.0,54.0,39.0,52.0,0.7631578947368421,3.3947368421052633,0.6004611111111111,87.5,12.5,0.0,0.0,0.0,52.94,34.21,1.421,1.026,1.368
French Ligue 1,2015/16,Guingamp,38.0,8.0,8.0,22.0,4.0,2.0,2.0,0.0,2.0,7.0,21.0,44.0,47.0,56.0,1.105263157894737,4.473684210526316,0.6589617647058824,50.0,50.0,25.0,25.0,0.0,31.82,55.26,1.158,1.237,1.474
French Ligue 1,2015/16,Lille,38.0,13.0,4.0,21.0,10.0,2.0,1.0,0.0,1.0,5.0,13.0,60.0,39.0,27.0,0.6842105263157895,4.842105263157895,0.5983935483870968,76.92,23.08,7.69,25.0,0.0,23.81,34.21,1.579,1.026,0.711
French Ligue 1,2015/16,Lorient,38.0,9.0,15.0,14.0,7.0,2.0,0.0,4.0,3.0,0.0,15.0,46.0,47.0,58.0,0.9473684210526315,3.5789473684210527,0.5148441176470588,77.78,22.22,0.0,46.67,26.67,0.0,39.47,1.211,1.237,1.526
